,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
2366,2022-04-27,5,CloserTwins,Faceoff,Domain Display,,Campaign,3,0,55,187,0,2
2367,2022-10-08,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,23,0,2
2368,2022-06-10,5,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,143,0,2
2369,2022-08-09,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0,83,0,1
2370,2022-10-13,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,18,0,1
2371,2022-08-04,4,CloserTwins,Competitors,Domain Display,,Campaign,3,0,0,88,0,2
2372,2022-05-03,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,181,0,1
2373,2022-10-23,2,UnfairAdvantage,OnePage,User ID Display,,Campaign,4,0,0,8,1,1
2374,2022-08-13,1,CloseFaster,FasterAll,User ID Display,,Campaign,4,0,0,79,0,1
2375,2022-05-26,5,CloserTwins,CloseMore,Domain Display,,Campaign,3,0,0,158,0,2
2376,2022-05-11,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,6,0,0,173,0,2
2377,2022-10-14,4,UnfairAdvantage,NoDTI,Domain Display,,Campaign,22,0,1085,17,0,2
2378,2022-05-08,5,CloserTwins,MoreAll,Domain Display,,Campaign,1,0,0,176,0,2
2379,2022-06-23,5,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,130,0,2
2380,2022-08-13,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,79,0,1
2381,2022-10-14,1,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,14,0,422,17,0,1
2382,2022-05-07,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,6,0,0,177,0,2
2383,2022-09-02,,NaN,NaN,,,General traffic,3,0,6,59,0,
2384,2022-08-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,719,77,0,3
2385,2022-04-21,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,9,0,8,193,0,1
2386,2022-05-09,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,175,0,1
2387,2022-06-26,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,5,0,0,127,0,2
2388,2022-08-06,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,86,0,1
2389,2022-05-16,4,CloserTwins,CloseMore,Domain Display,,Campaign,5,0,0,168,0,2
2390,2022-07-04,5,CloseFaster,MoreAll,Domain Display,,Campaign,1,0,0,119,0,2
2391,2022-09-01,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,60,0,1
2392,2022-09-12,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0,49,0,2
2393,2022-07-11,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,112,0,2
2394,2022-07-16,5,CloseFaster,FasterAll,Domain Display,,Campaign,1,0,0,107,0,2
